จังหวัด,เขต,พรรค,ผู้ชนะ,คะแนน,คะแนนบัญชีรายชื่อ,ผู้มีสิทธิ,มาใช้สิทธิ,คะแนนดี
กรุงเทพ,15,ประชาชน,วิทวัส ติชะวาณิชย์,"37,321","16,276","127,758","92,121",88172
กรุงเทพ,15,เพื่อไทย,พลภูมิ วิภัติภูมิประเทศ,"21,523","10,972",,,
กรุงเทพ,15,ภูมิใจไทย,ถนอม อ่อนเกตุพล,"12,943","16,276",,,
กรุงเทพ,15,ประชาธิปัตย์,ฐิตยากร พรโรจนากูร,"7,971","8,780",,,
กรุงเทพ,15,รวมไทยสร้างชาติ,ชัญญาพัชญ์ ธนโชติสวัสดิพร,"1,688","2,554",,,
กรุงเทพ,15,เศรษฐกิจ,นรชัย ไชยสังข์,"1,014",,,,
กรุงเทพ,15,กล้าธรรม,ปวริศา คุณาวรนนท์,664,,,,
กรุงเทพ,15,ไทยสร้างไทย,สุวัจชัย พิมพ์สุภาพร,635,,,,
กรุงเทพ,15,ไทยก้าวใหม่,ณอร จิรกรภิรมย์,501,,,,
กรุงเทพ,15,พลังประชารัฐ,กิตติพงศ์ ท่าพิกุล,459,,,,
กรุงเทพ,15,รักชาติ,สัญชัย บัตรตรา,297,,,,
กรุงเทพ,15,โอกาสใหม่,สงกรานต์ พงษ์พันนา,273,,,,
กรุงเทพ,15,ปวงชนไทย,กรกฤษณ์ วงศ์คุณหยก,259,,,,
กรุงเทพ,15,วิชชั่นใหม่,นันทวัชร์ กูลเกื้อศิประไพ,185,,,,
กรุงเทพ,15,,,,,,,
